Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-06
Sample Interval,3.2e-08
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,10
Label,
TIME,CH2
-3.200e-05,13.252
-3.197e-05,13.209
-3.194e-05,13.082
-3.190e-05,13.2852
-3.187e-05,13.291
-3.184e-05,13.2773
-3.181e-05,13.334
-3.178e-05,13.4219
-3.174e-05,13.3105
-3.171e-05,13.4063
-3.168e-05,13.3516
-3.165e-05,13.3105
-3.162e-05,13.3184
-3.158e-05,13.3359
-3.155e-05,13.3125
-3.152e-05,13.3555
-3.149e-05,13.4629
-3.146e-05,13.3359
-3.142e-05,13.3613
-3.139e-05,13.4102
-3.136e-05,13.2773
-3.133e-05,13.3145
-3.130e-05,13.3672
-3.126e-05,13.3066
-3.123e-05,13.2109
-3.120e-05,13.2559
-3.117e-05,13.3711
-3.114e-05,13.4434
-3.110e-05,13.2852
-3.107e-05,13.3008
-3.104e-05,13.2988
-3.101e-05,13.3223
-3.098e-05,13.2734
-3.094e-05,13.0918
-3.091e-05,13.1621
-3.088e-05,13.207
-3.085e-05,13.1387
-3.082e-05,13.043
-3.078e-05,13.0703
-3.075e-05,13.0801
-3.072e-05,13.0957
-3.069e-05,13.0625
-3.066e-05,13.084
-3.062e-05,13.0879
-3.059e-05,13.2012
-3.056e-05,13.0098
-3.053e-05,13.002
-3.050e-05,12.9922
-3.046e-05,13.0215
-3.043e-05,13.0195
-3.040e-05,12.9746
-3.037e-05,13.0195
-3.034e-05,12.998
-3.030e-05,12.918
-3.027e-05,12.9844
-3.024e-05,13.0254
-3.021e-05,13.1738
-3.018e-05,13.3652
-3.014e-05,13.3652
-3.011e-05,13.3496
-3.008e-05,13.4727
-3.005e-05,13.5273
-3.002e-05,13.416
-2.998e-05,13.5273
-2.995e-05,13.4512
-2.992e-05,13.4316
-2.989e-05,13.4883
-2.986e-05,13.4648
-2.982e-05,13.5449
-2.979e-05,13.4375
-2.976e-05,13.4473
-2.973e-05,13.5098
-2.970e-05,13.4961
-2.966e-05,13.4082
-2.963e-05,13.4707
-2.960e-05,13.4863
-2.957e-05,13.4883
-2.954e-05,13.5273
-2.950e-05,13.502
-2.947e-05,13.5547
-2.944e-05,13.5215
-2.941e-05,13.5762
-2.938e-05,13.5352
-2.934e-05,13.6055
-2.931e-05,13.5566
-2.928e-05,13.5684
-2.925e-05,13.6152
-2.922e-05,13.5313
-2.918e-05,13.5313
-2.915e-05,13.5371
-2.912e-05,13.5703
-2.909e-05,13.625
-2.906e-05,13.6797
-2.902e-05,13.6035
-2.899e-05,13.6699
-2.896e-05,13.668
-2.893e-05,13.5703
-2.890e-05,13.6055
-2.886e-05,13.6484
-2.883e-05,13.6484
-2.880e-05,13.7227
-2.877e-05,13.6289
-2.874e-05,13.5645
-2.870e-05,13.6797
-2.867e-05,13.5137
-2.864e-05,13.6035
-2.861e-05,13.623
-2.858e-05,13.627
-2.854e-05,13.6133
-2.851e-05,13.5918
-2.848e-05,13.5625
-2.845e-05,13.6582
-2.842e-05,13.5352
-2.838e-05,13.6328
-2.835e-05,13.7266
-2.832e-05,13.668
-2.829e-05,13.7324
-2.826e-05,13.6445
-2.822e-05,13.5996
-2.819e-05,13.6641
-2.816e-05,13.582
-2.813e-05,13.668
-2.810e-05,13.5996
-2.806e-05,13.7012
-2.803e-05,13.6758
-2.800e-05,13.6309
-2.797e-05,13.5508
-2.794e-05,13.6543
-2.790e-05,13.6133
-2.787e-05,13.666
-2.784e-05,13.5996
-2.781e-05,13.5332
-2.778e-05,13.6602
-2.774e-05,13.6406
-2.771e-05,13.668
-2.768e-05,13.6348
-2.765e-05,13.5234
-2.762e-05,6.6875
-2.758e-05,0.88086
-2.755e-05,0.527345
-2.752e-05,0.408204
-2.749e-05,0.312501
-2.746e-05,0.160157
-2.742e-05,-0.00976467
-2.739e-05,-0.11914
-2.736e-05,-0.166015
-2.733e-05,9.53674e-07
-2.730e-05,0.138673
-2.726e-05,0.212892
-2.723e-05,0.146485
-2.720e-05,0.238282
-2.717e-05,0.222657
-2.714e-05,0.117188
-2.710e-05,0.00976658
-2.707e-05,9.53674e-07
-2.704e-05,0.031251
-2.701e-05,0.0898447
-2.698e-05,0.158204
-2.694e-05,0.214845
-2.691e-05,0.146485
-2.688e-05,0.205079
-2.685e-05,0.289063
-2.682e-05,0.115235
-2.678e-05,0.109376
-2.675e-05,0.179688
-2.672e-05,0.19922
-2.669e-05,0.115235
-2.666e-05,0.121095
-2.662e-05,0.109376
-2.659e-05,0.185548
-2.656e-05,0.238282
-2.653e-05,0.197267
-2.650e-05,0.158204
-2.646e-05,0.23047
-2.643e-05,0.267579
-2.640e-05,0.144532
-2.637e-05,0.169923
-2.634e-05,0.177735
-2.630e-05,0.185548
-2.627e-05,0.265626
-2.624e-05,0.16211
-2.621e-05,0.236329
-2.618e-05,0.212892
-2.614e-05,0.240235
